city_name,state_Name,percentChange
Clewiston,FL,-73.37932879
Cape Coral,FL,-37.18726531
Macomb,IL,-28.43677094
Woodward,OK,-22.37411787
North Wilkesboro,NC,-19.41873668
Mount Airy,NC,-18.62338632
Effingham,IL,-18.16574536
Port Lavaca,TX,-17.19740706
Carbondale,IL,-16.74007992
Salina,KS,-12.32570714
Racine,WI,-11.29443925
Ruston,LA,-10.79457858
Easton,MD,-9.130790576
Milwaukee,WI,-8.778797146
Macon,GA,-8.396857091
Cordele,GA,-7.267315051
Jamestown,ND,-5.922426894
Lake Charles,LA,-4.661072161
Weatherford,OK,-4.574018591
Selma,AL,-4.571255944
Santa Maria,CA,-4.283307429
Edwards,CO,-4.276282785
Grand Forks,ND,-3.854491733
Bridgeport,CT,-3.839878549
Jacksonville,IL,-3.684096064
Wahpeton,ND,-3.094800544
Iowa City,IA,-3.093289689
Springfield,IL,-2.981152093
Athens,OH,-2.834903728
Toccoa,GA,-2.093419846
Pampa,TX,-2.0409202
Rock Springs,WY,-1.314292066
Cedar Rapids,IA,-1.19460164
Marquette,MI,-0.901587803
North Platte,NE,-0.665680473
Galesburg,IL,-0.652708104
Mount Vernon,IL,-0.571887252
Sunbury,PA,-0.392896295
Peoria,IL,-0.283815138
